Date,KOSPI,USD/KRW,GDP,IAIP,LIR,M1,Disease
2010-01-01,1696.140015,1132.400024,2,79.3,5.35,59.71815,0
2010-02-01,1606.439941,1163.199951,2,77.6,5.3,59.91618,0
2010-03-01,1615.119995,1142.099976,2,87.4,4.92,60.26919,0
2010-04-01,1719.170044,1124.199951,1.9,84.1,4.91,60.76476,0
2010-05-01,1721.209961,1115.699951,1.9,84.9,4.95,61.93774,0
2010-06-01,1630.400024,1218.5,1.9,87.5,4.93,63.01487,0
2010-07-01,1686.23999,1223.099976,1.2,84.7,4.91,63.17729,0
2010-08-01,1782.27002,1172.199951,1.2,81.6,4.68,63.32235,0
2010-09-01,1764.689941,1199.599976,1.2,83.7,4.28,63.27314,0
2010-10-01,1876.72998,1137.199951,1.2,85.4,4.11,63.69289,0
2010-11-01,1914.73999,1117.199951,1.2,86.1,4.48,65.00674,0
2010-12-01,1929.319946,1161.099976,1.2,95,4.46,65.63316,0
2011-01-01,2070.080078,1122.400024,0.9,85.9,4.69,66.49888,0
2011-02-01,2072.030029,1118.599976,0.9,77.3,4.76,67.4483,0
2011-03-01,1928.23999,1126.0,0.9,90.8,4.51,66.86279,0
2011-04-01,2121.01001,1099.199951,0.5,86.7,4.48,66.46596,0
2011-05-01,2228.959961,1069.599976,0.5,87.3,4.34,66.06718,0
2011-06-01,2141.340088,1073.400024,0.5,90.2,4.24,65.46473,0
2011-07-01,2125.73999,1067.900024,0.5,86.8,4.23,65.83592,0
2011-08-01,2172.310059,1055.300049,0.5,84.8,3.96,66.39542,0
2011-09-01,1880.699951,1065.800049,0.5,87.8,3.75,66.3475,0
2011-10-01,1666.52002,1152.5,0.5,88.4,3.86,66.38364,0
2011-11-01,1909.630005,1116.900024,0.5,88.4,3.8,66.71382,0
2011-12-01,1916.180054,1140.199951,0.5,96.6,3.81,66.96407,0
2012-01-01,1826.369995,1159.400024,0.9,84.7,3.8,67.43956,0
2012-02-01,1959.23999,1123.0,0.9,84.6,3.81,67.92106,0
2012-03-01,2034.630005,1113.699951,0.9,91.5,3.95,68.77584,0
2012-04-01,2029.290039,1129.599976,0.6,86.7,3.9,69.09592,0
2012-05-01,1999.069946,1129.099976,0.6,89.4,3.75,68.87273,0
2012-06-01,1834.51001,1179.0,0.6,90.3,3.63,68.95617,0
2012-07-01,1851.650024,1114.699951,0.5,88.2,3.3,69.2717,0
2012-08-01,1879.930054,1129.400024,0.5,84.7,3.09,69.57559,0
2012-09-01,1912.709961,1132.300049,0.5,89,3.05,69.74201,0
2012-10-01,1996.030029,1111.300049,0.5,88,2.97,70.32433,0
2012-11-01,1898.439941,1089.199951,0.5,90.2,2.99,70.77406,0
